code,name,city,country,latitude,longitude,elevation
UIK,Ust-Ilimsk,Ust Ilimsk,Russia,58.135,102.566,0
UIN,Quincy Regional Baldwin Field,Quincy,United States,39.9427,-91.1946,769
UIP,Pluguffan,Quimper,France,47.974981,-4.167786,297
UIT,Jaluit Airport,Jabor Jaluit Atoll,Marshall Islands,5.90924,169.637,4
UJE,Ujae Atoll Airport,Ujae Atoll,Marshall Islands,8.92806,165.762,0
UKB,Kobe,Kobe,Japan,34.632778,135.223889,22
UKC,Lutsk,Lutsk,Ukraine,50.6833,25.4833,774
UKK,Ust Kamenogorsk Airport,Ust Kamenogorsk,Kazakhstan,50.0366,82.4942,939
UKS,Belbek Sevastopol International Airport,Sevastopol,Ukraine,44.691431,33.57567,344
ULI,Ulithi,Ulithi,Micronesia,10.016699791,139.800003052,10
ULV,Barataevka,Ulyanovsk,Russia,54.268299,48.2267,463
UMS,Ust-Maya Airport,Ust-Maya,Russia,60.358056,134.437778,561
UMU,Orlando de Carvalho Airport,Umuarama,Brazil,-23.798611,-53.313611,1558
UNA,Una-Comandatuba Airport,Una,Brazil,-15.355278,-38.998889,20
UND,Konduz,Kunduz,Afghanistan,36.665111,68.910833,1457
UNI,Union Island International Airport,Union Island,Saint Vincent and the Grenadines,12.583,-61.417,16
UNN,Ranong,Ranong,Thailand,9.777622,98.585483,57
UPN,Licenciado Y Gen Ignacio Lopez Rayon,Uruapan,Mexico,19.396692,-102.039056,5258
UPP,Upolu,Opolu,United States,20.265256,-155.859989,96
URC,Diwopu,Urumqi,China,43.907106,87.474244,2125
URE,Kuressaare,Kuressaare,Estonia,58.229883,22.509494,14
URJ,Uraj,Uraj,Russia,60.1,64.83,186
URT,Surat Thani,Surat Thani,Thailand,9.1325,99.135556,286
URY,Guriat,Guriat,Saudi Arabia,31.411942,37.279469,1672
USH,Ushuaia Malvinas Argentinas,Ushuaia,Argentina,-54.843278,-68.29575,71
USM,Samui,Ko Samui,Thailand,9.547794,100.062272,64
USN,Ulsan,Ulsan,South Korea,35.593494,129.351722,45
UST,St. Augustine Airport,St. Augustine Airport,United States,29.959167,-81.339722,10
UT3,Hite Airport,Hanksville,United States,37.8916547,-110.3840289,3840
UTH,Udon Thani,Udon Thani,Thailand,17.386436,102.788247,579
UTM,Tunica Municipal Airport,Tunica,United States,34.681,-90.3467,194
